input_smile,is_patented,patent_cid,similar_smile_patent
O=C1CCCCNC(=O)[C@@H]2CCCN2C(=O)CNC(=O)[C@H](CCc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)CN1,True,161839.0,C1CC(N(C1)C(=O)C(CC2=CC=CC=C2)NC(=O)C3CCC(=O)N3)C(=O)N
c1ccc(CCCN2CCOCC2)cc1,True,782728.0,C1COCCN1CCCC2=CC=CC=C2
,False,,
C1=C2CCCCC2[C@H]2CCC3CCC[C@H]3C2=C1,True,129664828.0,C1CC=C2CCC3C4CCCC4CCC3=C2C1
c1ccccc1,True,241.0,C1=CC=CC=C1
c1ccccc1,True,241.0,C1=CC=CC=C1
c1ccccc1,True,241.0,C1=CC=CC=C1
O=C(N[C@H]1CCCNC(=O)[C@@H]2CCCN2C(=O)CNC(=O)[C@H](CCc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)CNC1=O)c1ccccc1,True,54181083.0,C1CC(N(C1)C(=O)C(CC2=CC=CC=C2)NC(=O)CNC(=O)C3=CC=CC=C3)C(=O)N
c1ccc(CNc2ncccn2)cc1,True,24229559.0,C1=CN=C(N=C1)C2=CC=C(C=C2)CN
c1ccc(COC(Cn2ccnc2)c2ccccc2)cc1,True,57307492.0,CCC(C1=CC=CC=C1)OC(C)(CCC2=CC=C(C=C2)F)CN3C=CN=C3
c1ccc(CSC(Cn2ccnc2)c2ccccc2)cc1,True,22762916.0,CC(CCC1=CC=C(C=C1)F)(CCN2C=CN=C2)SCCCC3=CC=CC=C3
,False,,
C1CO1,True,6354.0,C1CO1
O=c1ccs[nH]1,True,96917.0,C1=CSNC1=O
O=S1(=O)CCN(CN2CCS(=O)(=O)NC2)CN1,True,29566.0,C1CS(=O)(=O)NCN1CN2CCS(=O)(=O)NC2
,False,,
c1ccc2c(c1)ccc[n+]2CCCCCCCCCC[n+]1cccc2ccccc21,True,44423479.0,C1=CC=C2C(=C1)C=CC=[N+]2CCCCCCCCCC[N+]3=CC=CC4=CC=CC=C43.[Br-].[Br-]
,False,,
C1=N[C@@H]2C[C@H](O[C@H]3CC[C@H](O[C@H]4CCCCO4)CO3)C[C@@H]2O1,False,,
c1ccc(-c2csc(CC(Cn3cncn3)c3ccccc3)n2)cc1,True,170659310.0,CC1=CC=C(C=C1)C2=CSC(=N2)C(C)C(CN3C=NC=N3)C4=C(C=CC(=C4)C)F
c1ccc(SSc2cccc[nH+]2)[nH+]c1,True,18926156.0,C1=CC=[NH+]C(=C1)SSC2=CC=CC=[NH+]2.[Cl-].[Cl-]
,False,,
c1ccc(Oc2ccccc2-c2csc(N=C3NCCCN3)n2)cc1,True,159326.0,CC1=CC(=C(C=C1)OC2=CC=CC=C2C3=CSC(=N3)NC4=NCCCN4)C
c1ccc(Cc2nnc3ccncc3n2)cc1,True,213010.0,C1=CC=C2C(=C1)C3=C(C=N2)N=CN=N3
c1ccc(OCC2=Nc3cnccc3NN2)cc1,True,168888.0,C1=CC=C(C=C1)OCC2=NC3=C(C=CN=C3)NN2.Cl
c1ccccc1,True,241.0,C1=CC=CC=C1
O=C1OCc2ccccc21,True,61361.0,CCCCC1C2=CC=CC=C2C(=O)O1
O=C1CCCN1,True,12025.0,C1CC(=O)NC1
O=C1CCC=CCC(=O)C[C@@H](CCC2CCCCC2)OC(=O)[C@@H]2CCCCN2C(=O)C(=O)C2CCC[C@@H](CC/C=C/C=C/C=C/CCC1)O2,True,154697613.0,CC1CCC2CCC(=CC=CC=CC(CC(C(=O)CCC(=CC(C(=O)CCOC(=O)C3CCCCN3C(=O)C(=O)C1O2)C)C)C)C)C
S=C(Nc1ccccc1)Oc1ccc2c(c1)[C@@H]1CC[C@H]2C1,False,,
c1ccc(-c2cc[nH]c2)cc1,True,72898.0,C1=CC=C(C=C1)C2=CC=CN2
c1ccc(C(c2ccccc2)(c2ccccc2)n2ccnc2)cc1,True,2378.0,C1=CC=C(C=C1)C2=CC=C(C=C2)C(C3=CC=CC=C3)N4C=CN=C4
c1ccc2ncccc2c1,True,7047.0,C1=CC=C2C(=C1)C=CC=N2
O=c1c2ccccc2ncn1CC(Cn1cncn1)c1ccccc1,False,,
c1ccccc1,True,241.0,C1=CC=CC=C1
C(=C(OCCOc1ccccc1)c1ccccc1)n1ccnc1,True,44124691.0,C1=CC=C(C=C1)COC2=CC=C(C=C2)C=CCN3C=CN=C3
c1ccc(Sc2ccc(COC(Cn3ccnc3)c3ccccc3)cc2)cc1,False,,
O=C1CCCCCCCCCCCC2CCC[C@H](C[C@@H](O[C@H]3CCCCO3)/C=C/C=C/C=C/C=C/C=C/C=C/C=C/CCCCO1)O2,False,,
,False,,
c1ccc2[nH]c(-c3cscn3)nc2c1,True,5430.0,C1=CC=C2C(=C1)NC(=N2)C3=CSC=N3
c1cc[nH+]cc1,True,69401.0,C1=CC=[NH+]C=C1.[Cl-]
O=C1C=C2CC[C@H]3[C@@H]4CCCC4CC[C@@H]3C2CC1,True,250294.0,CC12CCCC1C3CCC4=CC(=O)CCC4(C3CC2)C
O=C1CCCCCCCC(=O)CCCC(=O)CC(=O)OC(CCCCCC(=O)c2ccccc2)C/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C(OC2CCCCO2)CCCCC1,False,,
c1ccccc1,True,241.0,C1=CC=CC=C1
C1CNCNC1,True,1519487.0,C1CNCNC1
O=C(Nc1ccccc1)c1ccccc1,True,27195.0,C1=CC=C(C=C1)NC(=O)C2=CC=CC=C2I
c1ccc(-c2csc(CC(Cn3cncn3)c3ccccc3)n2)cc1,True,170659310.0,CC1=CC=C(C=C1)C2=CSC(=N2)C(C)C(CN3C=NC=N3)C4=C(C=CC(=C4)C)F
c1ccc([C@]2(Cn3ccnc3)OC[C@@H](COc3ccc(N4CCNCC4)cc3)O2)cc1,True,142007734.0,C1CN(CCN1)C2=CC=C(C=C2)OCC3COC(O3)(CN4C=CN=C4)C5=C(C=C(C=C5)F)F
,False,,
